Dimensions;Categories;CODE
Subject domain;Religion and moral education;F_REL
Subject domain;Environmental education and sustainable development;F_ENV
Subject domain;Vocational and technical skills;F_VET
Subject domain;Other subject area;F_OTHER
Subject domain;NA;NA
Cross-cutting themes & skills;Citizenship and civic education;CCUT_CITIZ 
Cross-cutting themes & skills;Global citizenship and peace education;CCUT_GCITIZ 
Cross-cutting themes & skills;Human rights and equality;CCUT__RIGH
Cross-cutting themes & skills;Digital and ICT literacy;CCUT_DIGIT
Cross-cutting themes & skills;Financial and economic literacy;CCUT_FIN
Cross-cutting themes & skills;Entrepreneurship and business skills;CCUT_BUSI
Cross-cutting themes & skills;Life skills and 21st century competencies;CCUT_21ST
Cross-cutting themes & skills;Health and well-being education;CCUT_WELLB
Cross-cutting themes & skills;Sustainable development and climate action;CCUT_SUST
Cross-cutting themes & skills;Inclusive education and special needs;CCUT_INCL
Cross-cutting themes & skills;Other cross-cutting theme;CCUT_OTH
Cross-cutting themes & skills;NA;NA
Policy theme;Access and equity;POL_EQUIT
Policy theme;Quality and learning outcomes;POL_QUAL
Policy theme;Governance and planning;POL_GOV
Policy theme;Financing and resource mobilization;POL_FIN
Policy theme;Teachers and workforce policies;POL_TEACH
Policy theme;Curriculum and pedagogy policies;POL_CUR
Policy theme;Innovation and technology policies;POL_INNOV
Policy theme;Inclusion and diversity;POL_INCL
Policy theme;International cooperation and partnerships;POL_INTCOOP
Policy theme;Education in emergencies and crises;POL_EIE
Policy theme;Sustainable development and environment;POL_SUST
Policy theme;Health and well-being policies;POL_WELLB
Policy theme;Lifelong learning and adult education;POL_LL
Policy theme;Accountability and transparency;POL_TRANSP
Policy theme;Other policy theme;POL_OTH
Policy theme;NA;NA
Education system monitoring & evaluation;Education statistics and indicators;SYST_STAT
Education system monitoring & evaluation;Learning assessments and examinations;SYST_ASSESS
Education system monitoring & evaluation;EMIS and data systems;SYST_EMIS
Education system monitoring & evaluation;Quality assurance and accreditation;SYST_QUAL
Education system monitoring & evaluation;Institutional evaluation and inspection;SYST_INST
Education system monitoring & evaluation;Research and surveys;SYST_RESEAR
Education system monitoring & evaluation;Other;SYST_OTHER
Education system monitoring & evaluation;NA;NA
Legal frameworks;Constitution and fundamental rights;LAW_CONSTI
Legal frameworks;Education laws and regulations;LAW_REG
Legal frameworks;International conventions and treaties;LAW_INTER
Legal frameworks;Policy implementation and enforcement;LAW_IMPLEM
Legal frameworks;Rights and obligations of stakeholders;LAW_RIGHTS
Legal frameworks;Legal disputes and interpretation;LAW_INTERPR
Legal frameworks;Other;LAW_OTHER
Legal frameworks;NA;NA
Stakeholder focus;Government and policy makers;ACT_GOV
Stakeholder focus;Teachers and educators;ACT_EDUC
Stakeholder focus;Learners and students;ACT_STUD
Stakeholder focus;Parents and communities;ACT_PARENT
Stakeholder focus;Civil society and NGOs;ACT_CSO
Stakeholder focus;Private sector and industry;ACT_PRIV
Stakeholder focus;International organizations and donors;ACT_IO
Stakeholder focus;Other;ACT_OTHER
Stakeholder focus;NA;NA
Learner population;All learners;POP_ALL
Learner population;Children (0-17);POP_CHILD
Learner population;Youth and adolescents;POP_YOUTH
Learner population;Adults and lifelong learners;POP_ADUL
Learner population;Women and girls;POP_WOM
Learner population;Learners with disabilities;POP_DISAB
Learner population;Indigenous or minority groups;POP_INDIG
Learner population;Migrants, refugees and displaced persons;POP_DISPL
Learner population;Rural and remote learners;POP_RUR
Learner population;Low-income and disadvantaged groups;POP_POOR
Learner population;Population in conflict and emergencies settings;POP_EMERG
Learner population;Other;POP_OTHER
Learner population;NA;NA
